,Year,Tm,1stTeam
0,2000,BAL,2
1,2000,DAL,1
2,2000,DEN,1
3,2000,GNB,1
4,2000,KAN,1
5,2000,MIA,2
6,2000,MIN,1
7,2000,NOR,2
8,2000,OAK,1
9,2000,PHI,2
10,2000,SDG,1
11,2000,SFO,1
12,2000,STL,1
13,2000,TAM,3
14,2000,TEN,4
15,2001,ARI,1
16,2001,BAL,1
17,2001,CAR,1
18,2001,CHI,3
19,2001,CLE,1
20,2001,DAL,1
21,2001,KAN,2
22,2001,NYG,1
23,2001,NYJ,2
24,2001,PHI,1
25,2001,PIT,2
26,2001,SEA,1
27,2001,SFO,1
28,2001,STL,4
29,2001,TAM,2
30,2002,BAL,1
31,2002,CAR,1
32,2002,CHI,1
33,2002,IND,1
34,2002,KAN,2
35,2002,MIA,4
36,2002,NOR,1
37,2002,NYG,1
38,2002,OAK,4
39,2002,PHI,2
40,2002,PIT,2
41,2002,SFO,1
42,2002,TAM,3
43,2003,BAL,4
44,2003,CAR,1
45,2003,DAL,1
46,2003,DEN,1
47,2003,IND,1
48,2003,KAN,5
49,2003,MIA,1
50,2003,MIN,1
51,2003,NWE,3
52,2003,NYG,1
53,2003,SEA,1
54,2003,SFO,1
55,2003,STL,3
56,2003,TEN,1
57,2004,BAL,2
58,2004,BUF,1
59,2004,CAR,2
60,2004,CIN,1
61,2004,DEN,1
62,2004,DET,1
63,2004,GNB,1
64,2004,IND,2
65,2004,KAN,2
66,2004,MIN,1
67,2004,NWE,1
68,2004,NYJ,1
69,2004,PHI,3
70,2004,PIT,3
71,2004,SDG,2
72,2004,SEA,1
73,2004,TAM,2
74,2005,CAR,1
75,2005,CHI,2
76,2005,CIN,2
77,2005,DEN,2
78,2005,HOU,1
79,2005,IND,4
80,2005,KAN,1
81,2005,NWE,1
82,2005,NYG,2
83,2005,PIT,2
84,2005,SDG,2
85,2005,SEA,4
86,2005,TAM,2
87,2006,BAL,2
88,2006,CAR,1
89,2006,CHI,2
90,2006,CIN,2
91,2006,DEN,1
92,2006,IND,1
93,2006,JAX,1
94,2006,KAN,1
95,2006,MIA,2
96,2006,MIN,1
97,2006,NOR,2
98,2006,PHI,2
99,2006,PIT,1
100,2006,SDG,5
101,2007,BAL,1
102,2007,DAL,3
103,2007,IND,2
104,2007,KAN,1
105,2007,MIN,2
106,2007,NWE,5
107,2007,PHI,1
108,2007,PIT,1
109,2007,SDG,3
110,2007,SEA,3
111,2007,SFO,1
112,2007,TEN,1
113,2008,ARI,1
114,2008,ATL,1
115,2008,BAL,3
116,2008,CAR,2
117,2008,DAL,1
118,2008,HOU,1
119,2008,IND,1
120,2008,KAN,1
121,2008,MIN,4
122,2008,NYG,2
123,2008,OAK,1
124,2008,PIT,2
125,2008,TEN,4
126,2009,ARI,1
127,2009,BAL,1
128,2009,CLE,1
129,2009,DAL,2
130,2009,DEN,2
131,2009,GNB,1
132,2009,HOU,1
133,2009,IND,3
134,2009,MIN,4
135,2009,NOR,2
136,2009,NWE,1
137,2009,NYJ,2
138,2009,PHI,1
139,2009,SFO,1
140,2009,TEN,1
141,2010,ATL,2
142,2010,BAL,2
143,2010,CHI,1
144,2010,CLE,1
145,2010,DAL,1
146,2010,DET,1
147,2010,GNB,1
148,2010,HOU,2
149,2010,IND,1
150,2010,KAN,1
151,2010,MIA,1
152,2010,NOR,1
153,2010,NWE,3
154,2010,NYJ,2
155,2010,OAK,1
156,2010,PIT,2
157,2010,SFO,1
158,2011,BAL,3
159,2011,CLE,1
160,2011,DAL,1
161,2011,DET,1
162,2011,GNB,2
163,2011,JAX,1
164,2011,KAN,1
165,2011,MIN,1
166,2011,NOR,2
167,2011,NWE,2
168,2011,NYG,1
169,2011,NYJ,1
170,2011,PHI,2
171,2011,PIT,2
172,2011,SDG,1
173,2011,SFO,3
174,2012,ATL,1
175,2012,BAL,1
176,2012,CHI,2
177,2012,CIN,1
178,2012,DEN,3
179,2012,DET,1
180,2012,HOU,2
181,2012,MIA,1
182,2012,MIN,1
183,2012,NOR,1
184,2012,NWE,1
185,2012,SEA,4
186,2012,SFO,5
187,2013,ARI,1
188,2013,CAR,3
189,2013,CLE,2
190,2013,DEN,2
191,2013,DET,2
192,2013,HOU,1
193,2013,IND,1
194,2013,KAN,2
195,2013,NOR,1
196,2013,PHI,3
197,2013,SEA,2
198,2013,SFO,1
199,2013,STL,1
200,2013,TAM,2
201,2014,BAL,2
202,2014,BUF,2
203,2014,CAR,1
204,2014,CLE,1
205,2014,DAL,4
206,2014,DET,1
207,2014,GNB,2
208,2014,HOU,1
209,2014,KAN,1
210,2014,NWE,2
211,2014,PIT,3
212,2014,SDG,1
213,2014,SEA,3
214,2015,ARI,2
215,2015,ATL,1
216,2015,BAL,1
217,2015,CAR,6
218,2015,CIN,2
219,2015,CLE,1
220,2015,DEN,1
221,2015,HOU,1
222,2015,KAN,1
223,2015,MIN,1
224,2015,NWE,1
225,2015,OAK,1
226,2015,PIT,2
227,2015,SFO,1
228,2015,STL,1
229,2015,TAM,1
230,2016,ARI,1
231,2016,ATL,3
232,2016,DAL,5
233,2016,DEN,3
234,2016,KAN,3
235,2016,LAR,1
236,2016,NYG,2
237,2016,OAK,2
238,2016,PIT,1
239,2016,SEA,1
240,2016,TEN,1
241,2017,ARI,1
242,2017,CAR,2
243,2017,DET,1
244,2017,HOU,1
245,2017,JAX,2
246,2017,LAR,3
247,2017,MIN,2
248,2017,NOR,1
249,2017,NWE,2
250,2017,PHI,2
251,2017,PIT,4
252,2017,SEA,1
253,2017,TEN,1
254,2018,CAR,1
255,2018,CHI,3
256,2018,DAL,1
257,2018,GNB,1
258,2018,HOU,2
259,2018,IND,2
260,2018,KAN,4
261,2018,LAC,2
262,2018,LAR,2
263,2018,NOR,1
264,2018,NWE,1
265,2018,PHI,2
266,2018,SEA,1
267,2019,2TM,2
268,2019,ARI,1
269,2019,BAL,3
270,2019,BUF,1
271,2019,CAR,1
272,2019,DAL,1
273,2019,HOU,1
274,2019,IND,1
275,2019,KAN,1
276,2019,LAR,1
277,2019,MIN,1
278,2019,NOR,3
279,2019,NWE,1
280,2019,NYJ,1
281,2019,PHI,1
282,2019,PIT,2
283,2019,SEA,1
284,2019,SFO,1
285,2020,ARI,1
286,2020,BUF,1
287,2020,CLE,2
288,2020,GNB,4
289,2020,IND,3
290,2020,KAN,3
291,2020,LAR,2
292,2020,MIA,1
293,2020,PIT,2
294,2020,SEA,1
295,2020,SFO,1
296,2020,TEN,1
297,2020,WAS,1
298,2021,BAL,1
299,2021,BUF,1
300,2021,CLE,2
301,2021,DAL,3
302,2021,GNB,3
303,2021,IND,2
304,2021,LAR,3
305,2021,PHI,1
306,2021,PIT,2
307,2021,SFO,2
308,2021,TAM,1
309,2021,TEN,1
310,2022,2TM,1
311,2022,BUF,1
312,2022,CLE,1
313,2022,DAL,2
314,2022,DEN,1
315,2022,KAN,3
316,2022,LVR,2
317,2022,MIA,1
318,2022,MIN,1
319,2022,NYJ,2
320,2022,PHI,2
321,2022,PIT,1
322,2022,SFO,4
